9,Watch: This Syrian Man Has Been Stranded Inside An Airport For Over Two Months,buzzfeed,"Unable to go home to Syria or any other country, he has been living inside the transit zone and documenting his experience on Twitter.",,,
2,Moms Get Real About Motherhood Stereotypes,buzzfeed,"This Mother's Day, celebrate moms for who they are. Find millions of gifts as unique as your mom on www.amazon.ca.",,,
2,Shop For Groceries And We'll Guess How Old You Really Are,buzzfeed,You are what you eat!,,,
8,"Gasoline prices could see summer spike, with prices at 4-year highs and record demand",cnbc,"Already at four-year highs, gasoline could be be especially vulnerable to price spikes this summer, with demand at record highs and refineries running full throttle.",,,
4,Tesla's latest competition in making efficient truck to crisscross country: Big Oil,cnbc,"Tesla and Shell are both chasing the same problem in trucks: transportation emissions. Although the need for power makes fuel-efficient trucks a challenge, electric batteries and design improvements offer solutions.",,,
9,"North Korea vows to dismantle nuclear test site within weeks, invites world press to watch",cnbc,North Korea has scheduled the dismantlement of its nuclear test site for sometime between May 23 and 25 depending on weather conditions.,,,
8,"Years of budget cuts shrink the IRS, and corporations are the big winners",cnbc,"After years of budget cuts, the IRS is leaner, but not meaner.",,,
3,Apple made more profit in three-months than Amazon has generated during its lifetime,cnbc,Apple is vastly more profitable than Amazon.,,,
7,How to stop Google from tracking everything you do online,cnbc,Google launched new tools that make it much easier to stop it from tracking everything you do online. Here's how to use them.,,,
7,"Blockchain will help 'drive this next industrial revolution,' Wall Street bull predicts",cnbc,Federated Investors' Steve Chiavarone believes blockchain will ultimately play a major role in economic growth.,,,
7,This 'old-fashioned' identity theft is just as dangerous as the cyber kind,cnbc,"If your identity theft worries are limited to hacking and phishing, you're only looking at half the picture. Many cases stem from ""non-digital"" problems like stolen mail, lost wallets and misuse from family and company insiders.",,,
5,"Rudy Giuliani, America's mayor, has jumped the shark",cnn,"The former New York mayor appears to have become a supplicant, desperately desirous of remaining in good favor with Donald Trump, James A. Gagliano says.",,,
9,North Korea details plans to dismantle nuclear test site this month,cnn,"North Korea outlined steps Saturday to dismantle its nuclear testing site -- and confirmed that international journalists, including from the United States and the United Kingdom, would be invited to watch this month as its tunnels are blown up.",,,
5,"Trump claims he saved almost $999,800,000 on US embassy in Jerusalem",cnn,"President Donald Trump spent roughly 10 minutes of an hourlong speech Thursday night in Indiana telling the story of how he saved nearly $999,800,000 on controversial plans to move the US Embassy in Israel from Tel Aviv to Jerusalem -- a claim he has made before in the months leading up to the facility's opening on Monday.",,,
9,US policy shifts on Mideast increase tensions in a region on edge,cnn,"Days after President Donald Trump pulled out of the Iran nuclear deal, tensions in the Middle East have spiked sharply, raising concerns that the pending US Embassy move to Jerusalem will further ratchet up conflict with unpredictable outcomes for the Middle East.",,,
9,Iran leader trolls Trump with 'Fire & Fury' book - CNN Video,cnn,"Iran's head of state appears to take a shot at President Trump by posting a photo of himself reading ""Fire & Fury,"" a tell-all book about the environment in the Trump White House.",,,
8,Hear why woman called 911 on Airbnb guests - CNN Video,cnn,"Rialto, California authorities release audio from the woman who called police on three black Airbnb guests. The three guests and one of their attorney's spoke to CNN's Victor Blackwell.",,,
5,Trump will nominate Robert Wilkie to become permanent VA secretary,cnbc,,,,
6,Brown: 76ers 'need help to win a championship',espn,"Philadelphia 76ers head coach Brett Brown believes his team needs ""help to win a championship.""",,,
6,Running back? Giants' Barkley says not enough,espn,"Giants rookie Saquon Barkley says he's more than just a running back, and is willing to return kicks, play special teams ... ""whatever.""",,,
6,Who can your team draft in the lottery? Go in-depth on our top 14,espn,"We break down the top 14 prospects in our rankings, including strengths, improvement areas, draft ranges, physical comps and more.",,,
1,Fantastic Four's Many Costumes and Teammates Showcased in New Variant Covers - IGN,ign,Here are 20 awesome new Fantastic Four variant covers from Marvel Comics.,,,
1,Fortnite Avengers - How to Get Thanos' Infinity Gauntlet - Fortnite Wiki Guide - IGN,ign,"Fortnite Avengers - How to Get Thanos' Infinity Gauntlet - Fortnite: A Limited Time Mashup: Infinity Gauntlet is a solo game mode in Fortnite: Battle Royale. Beginning May 8, you will have the opportunity to claim the...",,,
1,Valve's Latest App Has Steam Taking Over Mobile - IGN Daily Fix - IGN Video,ign,"We've got Black Ops 4 zombies, koalas with chlamydia and a new way to play Steam on the toilet. Here are the top 5 news stories you missed this week.",,,
1,Game Scoop! 483: The Best Video Game Prequels - IGN,ign,"This week on IGN's video game talk show: video game prequels, Nintendo Switch Online, retro games, and more.",,,
1,Looking Back at the Birth of the MCU 10 Years After Iron Man's Release Date - IGN,ign,Take a look back at some of our favorite coverage of the MCU over the past 10 years.,,,
1,Super Castlevania 4 Finished In 31 Minutes (Speedrun) - IGN Video,ign,Watch FuriousPaul speedrun through Super Castlevania 4 for the Super Nintendo in the Any% category. Note: Hosting of this video was allowed by its original owner. Make sure to follow FuriousPaul on Twitch: https://www.twitch.tv/joana,,,
1,Games at E3 2018 - E3 - Electronics Entertainment Expo Wiki Guide - IGN,ign,"Games at E3 2018 - E3 - Electronics Entertainment Expo: The Games at E3 2018 list includes all games that are confirmed, suspected, and rumored to appear at E3 2018 in some form (not necessarily in &quot;play...",,,
1,Prepare To Try: Resident Evil 7 - The Boat - Part 6 - IGN Video,ign,"We meet Jack again - yes, again, make a tough decision, and get lost on a massive boat.",,,
1,Josh Brolin Reacts to Thanos Fortnite Gameplay - IGN Video,ign,Here's Deadpool 2's Josh Brolin reacting to seeing himself as Thanos in Fortnite.,,,
7,The Best 1080p 144Hz Gaming Monitor - IGN,ign,Upgrade your hertz with our pick for the best 1080p 144Hz gaming monitor.,,,
1,How to bring 9 players into Destiny 2: Warmind's Escalation Protocol,polygon,"Players have found a workaround to Bungie's most frustrating patrol problem. For starters, forgo the fireteam.",,,
1,Hunt: Showdown just got its first major content patch,polygon,Hopefully camping will be a little bit harder now,,,
1,Why people hate the ending of Rage,polygon,"If Rage 2 is real, maybe we can finally figure out what happened",,,
1,Destiny 2 players are working together to unravel another mystery,polygon,A secret code hidden inside Rasputin is sending players on a quest,,,
1,"Top YouTubers, Twitch streamers partner for major Fortnite tournament",polygon,"32 streamers, YouTubers will participate",,,
1,GameStop CEO quits after three months on the job,polygon,"Michael K. Mauler leaves GameStop for 'personal reasons,' company says",,,
1,Mineko's Night Market will be cat lovers' Game of the Year 2018,polygon,This precious adventure game is painfully cute,,,
1,Sony details PlayStation E3 2018 showcase,polygon,"New looks at Death Stranding, Spider-Man, The Last of Us Part 2 and more",,,
1,"Reselling your digital games will soon be a reality, but what does that mean?",polygon,Plenty of obstacles and opportunities ahead for blockchain retailer Robot Cache,,,
1,Nintendo Switch eShop update: new digital games for Switch this week,polygon,"Immortal Redneck is all about gunning through Egypt, not heading down south",,,
9,North Korea Plans To Dismantle Nuclear Test Sites By End Of May,the-huffington-post,President Donald Trump plans to hold a summit with North Korean leader Kim Jong Un on June 12.,,,
5,Gathering Of Military Spouses Puts The 'White' In White House,the-huffington-post,"The military is diverse, but you wouldn't know it from this White House event honoring service moms and spouses.",,,
5,"George Soros, Progressive Groups To Spend Millions To Elect Reformist Prosecutors",the-huffington-post,"If they succeed, the liberal billionaire and political action committees could change how the law is enforced in America.",,,
5,Mueller Reportedly Investigating Foreign-Linked Donors To Trump's Inauguration Fund,the-huffington-post,"The special counsel is looking at contributors tied to Russia, Qatar, Saudi Arabia and United Arab Emirates, ABC News says.",,,
9,Der Spiegel Cover Portrays Trump As A Finger Flipping Off Europe,the-huffington-post,"Time to join the resistance, German newsmagazine says, ""against America.""",,,
4,How Amazon Is Holding Seattle Hostage,the-huffington-post,"The city wants to tax large corporations to pay for homeless housing, but Jeff Bezos isn't pleased.",,,
4,How Uber Silences Women After Sexual Assaults,the-huffington-post,"Just by using the app, you click away your rights. Now some victims are fighting for change.",,,
8,Trump Outlines Plan to Lower Drug Prices,the-new-york-times,"The president said he would promote more competition, but broke with promises that he made while campaigning, like calling for Medicare to negotiate lower prices.",,,
9,Clashing Views on Iran Reflect a New Balance of Power on Trump's Team,the-new-york-times,"John R. Bolton, the new national security adviser, is on the rise, and Defense Secretary Jim Mattis appears more isolated. The new secretary of state, Mike Pompeo, may be the man in the middle.",,,
